UF;CIDADE;CIDADE_SIEBEL;ENCERRAMENTO;QTE
MG;CAXAMBU;CAXAMBU;2021-11-01;302
RJ;MESQUITA;MESQUITA;2019-10-01;17
GO;CIDADE OCIDENTAL;CIDADE OCIDENTAL;2021-10-01;3746
PE;RECIFE;RECIFE;2019-03-01;1186
GO;CIDADE OCIDENTAL;CIDADE OCIDENTAL;2021-04-01;3008
RJ;SAO PEDRO DA ALDEIA;SAO PEDRO DA ALDEIA;2019-03-01;1
RJ;SAO GONCALO;SAO GONCALO;2020-01-01;9629
BA;VITORIA DA CONQUISTA;VITORIA DA CONQUISTA;2021-09-01;9460
DF;BRASILIA;SOBRADINHO;2019-08-01;32
PR;COLOMBO;COLOMBO;2019-08-01;5302
RJ;NOVA FRIBURGO;NOVA FRIBURGO;2021-09-01;1023
PR;MARINGA;MARINGA;2020-05-01;1728
PA;MARABA;MARABA;2021-03-01;12840
RJ;PETROPOLIS;JARDIM ARARAS;2020-12-01;326
SC;LAGES;LAGES;2020-12-01;5135
PR;COLOMBO;SANTA RITA;2021-03-01;44
RS;VIAMAO;VIAMAO;2021-09-01;28804
MG;NOVA LIMA;SERRA DEL REI;2021-03-01;380
RJ;SAO PEDRO DA ALDEIA;SAO PEDRO DA ALDEIA;2020-06-01;6
AM;MANAUS;MANAUS;2018-11-01;399
RJ;NOVA IGUACU;NOVA IGUACU;2020-04-01;9138
SC;NAVEGANTES;NAVEGANTES;2022-02-01;1380
PR;ALMIRANTE TAMANDARE;ALMIRANTE TAMANDARE;2021-06-01;8949
RJ;PARACAMBI;PARACAMBI;2021-09-01;357
RS;VIAMAO;VIAMAO;2020-03-01;13466
PR;SAO JOSE DOS PINHAIS;SAO JOSE DOS PINHAIS;2020-12-01;42474
RJ;ANGRA DOS REIS;ANGRA DOS REIS;2019-01-01;1119
PR;CURITIBA;CURITIBA;2020-10-01;56875
RJ;BARRA DO PIRAI;BARRA DO PIRAI;2021-06-01;951
RJ;PETROPOLIS;PEDRO DO RIO;2021-06-01;6
RS;NOVO HAMBURGO;NOVO HAMBURGO;2021-07-01;19672
PB;CAMPINA GRANDE;CAMPINA GRANDE;2020-12-01;799
RJ;DUQUE DE CAXIAS;DUQUE DE CAXIAS;2020-03-01;57741
BA;LAURO DE FREITAS;LAURO DE FREITAS;2021-01-01;3460
RJ;CABO FRIO;CABO FRIO;2021-07-01;16009
DF;BRASILIA;SOBRADINHO;2021-04-01;17533
GO;GOIANIA;GOIANIA;2021-07-01;53216
RJ;VALENCA;VALENCA;2022-01-01;2672
RR;BOA VISTA;BOA VISTA;2020-04-01;16531
RJ;PETROPOLIS;ITAIPAVA;2021-09-01;2377
MG;CATAGUASES;CATAGUASES;2021-07-01;5740
MG;RIBEIRAO DAS NEVES;RIBEIRAO DAS NEVES;2021-01-01;806
MG;CATAGUASES;CATAGUASES;2020-10-01;2232
DF;BRASILIA;SANTA MARIA;2021-06-01;10
MG;ARAGUARI;ARAGUARI;2019-09-01;3134
PR;COLOMBO;MARACANA;2021-01-01;210
SC;JOINVILLE;JOINVILLE;2021-04-01;11610
BA;JACOBINA;JACOBINA;2020-09-01;1099
MG;SAO JOAO DEL REI;SERRA DEL REI;2018-08-01;6
RJ;MESQUITA;MESQUITA;2021-02-01;3430
RJ;NOVA IGUACU;NOVA IGUACU;2020-05-01;10252
SC;JOINVILLE;JOINVILLE;2020-01-01;1
RJ;ANGRA DOS REIS;ANGRA DOS REIS;2019-10-01;5817
DF;BRASILIA;TAGUATINGA;2021-05-01;22710
MG;JUIZ DE FORA;JUIZ DE FORA;2021-03-01;26175
RO;JI-PARANA;JI-PARANA;2020-08-01;5892
RJ;VALENCA;VALENCA;2021-09-01;317
MA;SAO LUIS;SAO LUIS;2019-12-01;17176
RJ;NOVA FRIBURGO;NOVA FRIBURGO;2022-01-01;1500
RJ;TERESOPOLIS;TERESOPOLIS;2019-06-01;1252
PR;COLOMBO;COLOMBO;2021-06-01;43459
MG;DIVINOPOLIS;DIVINOPOLIS;2021-12-01;24525
PR;COLOMBO;COLOMBO;2021-04-01;41405
MT;TANGARA DA SERRA;TANGARA DA SERRA;2021-11-01;157
AP;MACAPA;MACAPA;2021-03-01;22473
SC;FLORIANOPOLIS;FLORIANOPOLIS;2020-12-01;4677
RS;PASSO FUNDO;PASSO FUNDO;2021-09-01;14219
DF;BRASILIA;SOBRADINHO;2020-12-01;15411
RS;SANTA MARIA;SANTA MARIA;2021-05-01;19793
SC;ITAJAI;ITAJAI;2021-02-01;6453
RJ;SAO JOAO DE MERITI;VILAR DOS TELES;2021-04-01;33338
RJ;ARRAIAL DO CABO;UNAMAR;2019-07-01;75
RJ;ARRAIAL DO CABO;ARRAIAL DO CABO;2019-03-01;91
RJ;PETROPOLIS;CORREIAS;2021-04-01;3063
GO;GOIANIA;GOIANIA;2021-03-01;44700
PE;RECIFE;RECIFE;2021-02-01;17552
PR;COLOMBO;MARACANA;2022-02-01;151
MG;ESMERALDAS;ESMERALDAS;2022-02-01;117
SC;BRUSQUE;BRUSQUE;2020-10-01;4701
MG;POCOS DE CALDAS;POCOS DE CALDAS;2021-12-01;10651
RJ;PETROPOLIS;PEDRO DO RIO;2020-11-01;3
RJ;PETROPOLIS;PETROPOLIS;2019-06-01;10375
ES;CACHOEIRO DE ITAPEMIRIM;CACHOEIRO DE ITAPEMIRIM;2021-09-01;5620
BA;SALVADOR;SALVADOR;2018-12-01;572
PE;CARUARU;CARUARU;2022-02-01;9489
MT;SINOP;SINOP;2021-07-01;7929
PA;BELEM;BELEM;2021-09-01;68689
PA;ANANINDEUA;ANANINDEUA;2020-03-01;4722
SE;ARACAJU;ARACAJU;2020-05-01;133
BA;BARREIRAS;BARREIRAS;2019-09-01;2314
SC;CHAPECO;CHAPECO;2021-05-01;3781
MG;POUSO ALEGRE;POUSO ALEGRE;2020-07-01;5049
SC;TUBARAO;TUBARAO;2022-01-01;4868
RJ;SAO GONCALO;SAO GONCALO;2021-09-01;21671
RJ;PETROPOLIS;PETROPOLIS;2018-12-01;4791
AL;MACEIO;MACEIO;2021-10-01;6550
SC;BRUSQUE;BRUSQUE;2022-02-01;9834
RO;PORTO VELHO;PORTO VELHO;2019-09-01;5745
SC;TUBARAO;TUBARAO;2020-05-01;493
RO;PORTO VELHO;PORTO VELHO;2019-10-01;8981
SC;CRICIUMA;CRICIUMA;2020-07-01;1070
SC;LAURENTINO;LAURENTINO;2021-07-01;1
SC;LAGES;LAGES;2020-07-01;2084
RJ;TERESOPOLIS;TERESOPOLIS;2020-10-01;4864
PI;PIRIPIRI;PIRIPIRI;2021-01-01;192
SC;FLORIANOPOLIS;FLORIANOPOLIS;2020-07-01;2864
RN;NATAL;NATAL;2021-03-01;9046
BA;BARREIRAS;BARREIRAS;2020-02-01;5883
RJ;QUEIMADOS;QUEIMADOS;2019-10-01;9
RJ;CABO FRIO;UNAMAR;2021-03-01;4159
RJ;SAO JOAO DE MERITI;VILAR DOS TELES;2020-08-01;4
SC;SAO JOSE;SAO JOSE;2022-02-01;303
PB;CAMPINA GRANDE;CAMPINA GRANDE;2021-06-01;1987
PR;SAO JOSE DOS PINHAIS;BORDA DO CAMPO DE SAO SEBASTIAO;2021-10-01;25
SC;JOINVILLE;JOINVILLE;2021-09-01;16824
PR;LONDRINA;LONDRINA;2020-10-01;549
BA;FEIRA DE SANTANA;FEIRA DE SANTANA;2021-10-01;5315
RS;PELOTAS;PELOTAS;2020-06-01;2343
RS;SANTO ANGELO;SANTO ANGELO;2021-10-01;4794
GO;AGUAS LINDAS DE GOIAS;AGUAS LINDAS DE GOIAS;2021-01-01;4069
GO;RIO VERDE;RIO VERDE;2021-12-01;9442
RJ;PETROPOLIS;PEDRO DO RIO;2021-10-01;6
RJ;PETROPOLIS;PETROPOLIS;2018-10-01;3047
MG;POUSO ALEGRE;POUSO ALEGRE;2018-10-01;515
SC;JOINVILLE;JOINVILLE;2020-05-01;1223
SC;CRICIUMA;CRICIUMA;2021-06-01;5834
PR;SAO JOSE DOS PINHAIS;BORDA DO CAMPO DE SAO SEBASTIAO;2020-12-01;22
RJ;SAO JOAO DE MERITI;SAO JOAO DE MERITI;2019-06-01;23652
MA;SAO LUIS;SAO LUIS;2019-09-01;7338
MG;PATROCINIO;PATROCINIO;2020-10-01;5354
CE;MARACANAU;MARACANAU;2021-07-01;261
RS;CANOAS;CANOAS;2020-08-01;21730
ES;CARIACICA;ITAQUARI;2021-11-01;264
PR;SAO JOSE DOS PINHAIS;SAO JOSE DOS PINHAIS;2020-04-01;20611
MS;DOURADOS;DOURADOS;2020-01-01;7699
RJ;QUEIMADOS;QUEIMADOS;2020-06-01;5248
RJ;DUQUE DE CAXIAS;CAMPOS ELYSEOS;2021-08-01;1
CE;FORTALEZA;FORTALEZA;2019-02-01;2283
DF;BRASILIA;BRASILIA;2020-03-01;25779
RJ;DUQUE DE CAXIAS;DUQUE DE CAXIAS;2021-07-01;71274
MG;DIVINOPOLIS;DIVINOPOLIS;2020-06-01;15239
RJ;BARRA DO PIRAI;BARRA DO PIRAI;2020-11-01;416
RJ;BELFORD ROXO;VILAR DOS TELES;2019-07-01;2127
RS;CANOAS;CANOAS;2020-02-01;6897
PR;FOZ DO IGUACU;FOZ DO IGUACU;2021-01-01;2429
DF;BRASILIA;CEILANDIA;2021-07-01;38765
MT;JUINA;JUINA;2021-10-01;85
MG;SETE LAGOAS;SETE LAGOAS;2020-12-01;21753
MT;CUIABA;CUIABA;2021-02-01;6547
PR;PONTA GROSSA;PONTA GROSSA;2022-02-01;35634
MG;UBA;UBA;2019-10-01;4976
MG;POCOS DE CALDAS;POCOS DE CALDAS;2021-08-01;9802
DF;BRASILIA;SOBRADINHO;2020-04-01;12
RR;BOA VISTA;BOA VISTA;2021-10-01;49522
BA;VITORIA DA CONQUISTA;VITORIA DA CONQUISTA;2021-01-01;6768
;;;2021-04-01;1
MT;RONDONOPOLIS;RONDONOPOLIS;2021-08-01;31723
RS;ALVORADA;ALVORADA;2019-10-01;7084
RS;SANTO ANGELO;SANTO ANGELO;2020-11-01;2161
ES;VILA VELHA;VILA VELHA;2021-02-01;1981
PE;PAULISTA;PAULISTA;2022-02-01;427
RJ;BELFORD ROXO;BELFORD ROXO;2020-10-01;12883
RJ;SAO JOAO DE MERITI;SAO JOAO DE MERITI;2019-04-01;20611
MG;UBA;UBA;2019-09-01;4734
MG;SAO JOAO DEL REI;SAO JOAO DEL REI;2019-03-01;7
RJ;PETROPOLIS;CORREIAS;2020-01-01;5
GO;RIO VERDE;RIO VERDE;2019-12-01;1
RJ;PETROPOLIS;PETROPOLIS;2021-06-01;35016
RS;NOVO HAMBURGO;NOVO HAMBURGO;2021-03-01;16960
ES;CARIACICA;CARIACICA;2021-06-01;12979
RS;GRAVATAI;GRAVATAI;2022-01-01;5203
PR;PINHAIS;PINHAIS;2021-09-01;21255
GO;ANAPOLIS;ANAPOLIS;2022-02-01;5460
RJ;ARARUAMA;ARARUAMA;2021-12-01;1634
SC;CRICIUMA;CIDADE MINEIRA VELHA;2020-09-01;4
MG;NOVA LIMA;SERRA DEL REI;2021-06-01;389
MA;SAO LUIS;SAO LUIS;2022-01-01;77655
RJ;SAO GONCALO;SAO GONCALO;2020-05-01;13422
AP;MACAPA;MACAPA;2019-10-01;3447
BA;JEQUIE;JEQUIE;2021-09-01;6329
DF;BRASILIA;NUCLEO BANDEIRANTE;2021-10-01;28
MG;RIBEIRAO DAS NEVES;RIBEIRAO DAS NEVES;2020-03-01;410
DF;BRASILIA;PLANALTINA;2021-07-01;3339
RJ;NITEROI;NITEROI;2018-12-01;1574
RJ;PETROPOLIS;PETROPOLIS;2018-11-01;3953
AM;MANAUS;MANAUS;2021-07-01;60920
ES;SERRA;CARAPINA;2020-09-01;12
ES;CARIACICA;CARIACICA;2021-09-01;16707
RS;CAMAQUA;CAMAQUA;2021-08-01;121
RJ;MANGARATIBA;PORTO BELO;2021-09-01;196
TO;PALMAS;PALMAS;2019-08-01;1261
DF;BRASILIA;TAGUATINGA;2020-03-01;65
ES;SERRA;CARAPINA;2020-11-01;18
MA;SANTA INES;SANTA INES;2020-03-01;122
GO;RIO VERDE;RIO VERDE;2021-03-01;5029
MG;SETE LAGOAS;SETE LAGOAS;2021-07-01;24546
BA;JACOBINA;JACOBINA;2020-07-01;404
PR;ALMIRANTE TAMANDARE;ALMIRANTE TAMANDARE;2021-01-01;7718
SC;ITAJAI;ITAJAI;2020-07-01;1808
CE;FORTALEZA;FORTALEZA;2021-03-01;66068
SC;TUBARAO;TUBARAO;2021-09-01;4657
RJ;NILOPOLIS;NILOPOLIS;2021-02-01;27335
ES;CARIACICA;ITAQUARI;2022-02-01;322
RO;JI-PARANA;JI-PARANA;2020-09-01;6794
MG;MONTES CLAROS;MONTES CLAROS;2019-12-01;10381
ES;VILA VELHA;VILA VELHA;2020-07-01;507
RJ;CABO FRIO;CABO FRIO;2021-02-01;14305
RS;ALEGRETE;ALEGRETE;2021-10-01;827
PR;COLOMBO;SANTA RITA;2021-08-01;41
SC;GAROPABA;GAROPABA;2021-12-01;219
MG;VESPASIANO;VESPASIANO;2019-02-01;865
PE;OLINDA;OLINDA;2020-09-01;15025
PR;PAICANDU;PAICANDU;2022-01-01;2386
PE;PETROLINA;PETROLINA;2021-02-01;556
DF;BRASILIA;RIACHO FUNDO;2021-12-01;3292
RJ;NILOPOLIS;NILOPOLIS;2019-10-01;15210
RS;ALVORADA;ALVORADA;2019-09-01;5009
PR;CASCAVEL;CASCAVEL;2020-08-01;5634
RJ;CABO FRIO;CAMINHO DE BUZIOS;2021-08-01;1581
SC;FLORIANOPOLIS;FLORIANOPOLIS;2020-05-01;2122
SC;BLUMENAU;BLUMENAU;2020-11-01;13550
RJ;CABO FRIO;UNAMAR;2021-11-01;3893
BA;BARREIRAS;BARREIRAS;2021-01-01;11800
RJ;ARMACAO DOS BUZIOS;ARMACAO DOS BUZIOS;2021-01-01;9366
RS;PASSO FUNDO;PASSO FUNDO;2020-09-01;4084
RJ;PETROPOLIS;JARDIM ARARAS;2019-10-01;3
MG;VESPASIANO;VESPASIANO;2019-11-01;3902
SC;BLUMENAU;BLUMENAU;2021-02-01;17404
SC;LAGES;LAGES;2020-08-01;2725
SC;CRICIUMA;CIDADE MINEIRA VELHA;2021-12-01;3
PR;COLOMBO;COLOMBO;2021-01-01;37470
MG;POUSO ALEGRE;POUSO ALEGRE;2019-03-01;1593
PR;SAO JOSE DOS PINHAIS;BORDA DO CAMPO DE SAO SEBASTIAO;2021-11-01;22
RJ;VOLTA REDONDA;VOLTA REDONDA;2019-06-01;463
MG;RIBEIRAO DAS NEVES;RIBEIRAO DAS NEVES;2022-02-01;4714
PE;RECIFE;RECIFE;2018-08-01;71
AC;RIO BRANCO;RIO BRANCO;2021-09-01;37982
SC;CRICIUMA;VILA MANAUS;2020-12-01;1
RJ;MESQUITA;MESQUITA;2020-09-01;3268
RJ;SAO PEDRO DA ALDEIA;SAO PEDRO DA ALDEIA;2021-10-01;338
RJ;BARRA MANSA;BARRA MANSA;2020-06-01;2276
RJ;SAO JOAO DE MERITI;SAO JOAO DE MERITI;2021-06-01;24509
MG;BETIM;BETIM;2021-01-01;19433
RJ;ANGRA DOS REIS;ANGRA DOS REIS;2019-05-01;3318
RJ;NITEROI;NITEROI;2021-01-01;24587
PE;PETROLINA;PETROLINA;2020-11-01;187
MA;SAO LUIS;SAO LUIS;2021-05-01;69923
SC;FLORIANOPOLIS;FLORIANOPOLIS;2021-03-01;5644
RS;PORTO ALEGRE;PORTO ALEGRE;2019-05-01;2158
GO;NOVO GAMA;NOVO GAMA;2022-02-01;688
RJ;BARRA MANSA;BARRA MANSA;2020-08-01;2787
PR;LONDRINA;LONDRINA;2021-09-01;1193
ES;SERRA;SERRA;2021-10-01;20749
PE;OLINDA;OLINDA;2021-09-01;19493
RJ;CABO FRIO;TAMOIOS;2019-11-01;1
BA;SALVADOR;SALVADOR;2021-04-01;85821
PR;CURITIBA;CURITIBA;2021-05-01;89786
PE;RECIFE;RECIFE;2021-08-01;23776
SC;TUBARAO;TUBARAO;2020-09-01;1770
RJ;BELFORD ROXO;BELFORD ROXO;2019-10-01;27
PA;MARABA;MARABA;2021-08-01;13376
SC;RIO DO SUL;RIO DO SUL;2022-01-01;6503
RS;SANTA CRUZ DO SUL;SANTA CRUZ DO SUL;2021-03-01;7940
PR;COLOMBO;COLOMBO;2022-01-01;47732
BA;FEIRA DE SANTANA;FEIRA DE SANTANA;2020-01-01;853
SP;SAO PAULO;SAO PAULO;2022-01-01;5892
RJ;SAO JOAO DE MERITI;VILAR DOS TELES;2020-12-01;34337
AM;MANAUS;MANAUS;2020-06-01;29576
RJ;ARMACAO DOS BUZIOS;ARMACAO DOS BUZIOS;2022-01-01;11017
PA;BELEM;BELEM;2022-02-01;78955
BA;FEIRA DE SANTANA;FEIRA DE SANTANA;2021-04-01;4819
DF;BRASILIA;SOBRADINHO;2021-11-01;18943
MG;RIBEIRAO DAS NEVES;RIBEIRAO DAS NEVES;2019-07-01;19
PE;OLINDA;OLINDA;2020-07-01;13295
RS;SANTO ANGELO;SANTO ANGELO;2020-06-01;198
TO;PALMAS;PALMAS;2019-10-01;2851
MG;VARGINHA;VARGINHA;2018-12-01;829
MG;BELO HORIZONTE;BELO HORIZONTE;2019-07-01;5808
RJ;NILOPOLIS;NILOPOLIS;2021-04-01;27701
SE;ARACAJU;ARACAJU;2021-06-01;11707
PE;CARUARU;CARUARU;2021-01-01;8860
AC;RIO BRANCO;RIO BRANCO;2021-05-01;34077
BA;ITABUNA;ITABUNA;2021-12-01;7105
MG;VARGINHA;VARGINHA;2020-07-01;7094
RS;PELOTAS;PELOTAS;2021-03-01;11156
SC;RIO DO SUL;RIO DO SUL;2021-01-01;5527
RO;JI-PARANA;JI-PARANA;2020-07-01;5029
BA;SALVADOR;SALVADOR;2020-04-01;47455
RJ;PETROPOLIS;JARDIM ARARAS;2020-05-01;1
MA;IMPERATRIZ;IMPERATRIZ;2021-05-01;203
MG;BETIM;BETIM;2022-01-01;25132
ES;CACHOEIRO DE ITAPEMIRIM;CACHOEIRO DE ITAPEMIRIM;2021-07-01;4526
RJ;NITEROI;NITEROI;2019-04-01;3561
SC;LAGES;LAGES;2020-02-01;1
BA;BARREIRAS;BARREIRAS;2022-01-01;13046
BA;LAURO DE FREITAS;LAURO DE FREITAS;2020-02-01;651
RJ;ANGRA DOS REIS;ANGRA DOS REIS;2020-08-01;9956
ES;VILA VELHA;VILA VELHA;2020-08-01;1198
PE;OLINDA;OLINDA;2021-05-01;19109
RJ;PETROPOLIS;PETROPOLIS;2021-11-01;36813
PA;ANANINDEUA;ANANINDEUA;2020-10-01;9530
RJ;PETROPOLIS;CORREIAS;2021-08-01;3254
ES;CARIACICA;CARIACICA;2021-11-01;17915
MG;NOVA LIMA;NOVA LIMA;2019-12-01;1174
MG;JUIZ DE FORA;JUIZ DE FORA;2022-01-01;29692
RS;CAXIAS DO SUL;CAXIAS DO SUL;2021-08-01;32673
TO;PALMAS;PALMAS;2021-03-01;14904
RJ;SAO JOAO DE MERITI;VILAR DOS TELES;2020-02-01;144
DF;BRASILIA;TAGUATINGA;2020-04-01;65
RJ;SAO JOAO DE MERITI;SAO JOAO DE MERITI;2021-10-01;28044
ES;SAO GABRIEL DA PALHA;SAO GABRIEL DA PALHA;2021-10-01;743
RJ;CABO FRIO;CABO FRIO;2018-08-01;521
MA;SANTA INES;SANTA INES;2019-12-01;1
RJ;SAO GONCALO;SAO GONCALO;2020-03-01;11633
RO;VILHENA;VILHENA;2022-01-01;7913
RS;SANTA MARIA;SANTA MARIA;2020-07-01;2634
AL;MACEIO;MACEIO;2021-05-01;6149
MT;VARZEA GRANDE;VARZEA GRANDE;2021-11-01;6202
MS;MARACAJU;MARACAJU;2021-12-01;1434
MG;BELO HORIZONTE;BELO HORIZONTE;2019-12-01;15738
DF;BRASILIA;RIACHO FUNDO;2021-11-01;3164
PR;COLOMBO;COLONIA FARIA;2021-05-01;2
RJ;BARRA DO PIRAI;BARRA DO PIRAI;2021-11-01;3194
MA;AXIXA;BELEM;2019-08-01;2
AP;MACAPA;MACAPA;2019-08-01;1382
MG;BETIM;BETIM;2019-05-01;1146
MG;NOVA LIMA;SERRA DEL REI;2021-12-01;381
MG;PATROCINIO;PATROCINIO;2022-02-01;5612
MG;CATAGUASES;CATAGUASES;2022-01-01;6097
RJ;MESQUITA;MESQUITA;2020-07-01;2980
RN;NATAL;NATAL;2020-06-01;1858
RJ;NILOPOLIS;NILOPOLIS;2019-08-01;12143
RS;SANTA MARIA;SANTA MARIA;2020-04-01;464
DF;BRASILIA;GUARA;2021-06-01;2
RJ;NITEROI;NITEROI;2022-01-01;29077
GO;ANAPOLIS;ANAPOLIS;2020-11-01;1661
MG;LEOPOLDINA;LEOPOLDINA;2020-06-01;2176
PI;TERESINA;TERESINA;2020-05-01;14747
MG;BETIM;BETIM;2020-08-01;15300
RS;VIAMAO;VILA ELZA;2021-09-01;1
CE;MARACANAU;MARACANAU;2021-08-01;284
PE;CARUARU;CARUARU;2020-05-01;3836
ES;CARIACICA;ITAQUARI;2021-01-01;28
PR;CURITIBA;CURITIBA;2021-10-01;116143
PR;COLOMBO;ROCA GRANDE;2019-08-01;2
PI;PARNAIBA;PARNAIBA;2021-12-01;9982
PR;CURITIBA;CURITIBA;2018-11-01;203
RS;VIAMAO;VIAMAO;2022-01-01;29527
GO;AGUAS LINDAS DE GOIAS;AGUAS LINDAS DE GOIAS;2020-05-01;1022
GO;AGUAS LINDAS DE GOIAS;AGUAS LINDAS DE GOIAS;2020-01-01;99
RS;PASSO FUNDO;PASSO FUNDO;2021-05-01;11856
MG;SANTA LUZIA;SANTA LUZIA;2022-01-01;1
MG;JUIZ DE FORA;JUIZ DE FORA;2020-07-01;18092
PI;PARNAIBA;PARNAIBA;2020-06-01;850
PA;ANANINDEUA;ANANINDEUA;2021-09-01;18661
SC;SAO JOSE;SAO JOSE;2021-04-01;25
BA;TEIXEIRA DE FREITAS;TEIXEIRA DE FREITAS;2020-08-01;1109
MS;CAMPO GRANDE;CAMPO GRANDE;2020-08-01;7407
PI;PIRIPIRI;PIRIPIRI;2020-01-01;126
RO;PORTO VELHO;PORTO VELHO;2020-12-01;55186
RO;JI-PARANA;JI-PARANA;2021-02-01;9205
RJ;ARMACAO DOS BUZIOS;ARMACAO DOS BUZIOS;2020-05-01;7125
RJ;CABO FRIO;CABO FRIO;2019-12-01;11208
RN;NATAL;NATAL;2021-12-01;13168
MG;LEOPOLDINA;LEOPOLDINA;2021-12-01;3654
GO;ANAPOLIS;ANAPOLIS;2020-05-01;1
RR;BOA VISTA;BOA VISTA;2020-09-01;33697
ES;VITORIA;VITORIA;2020-06-01;2855
PR;MARINGA;MARINGA;2020-03-01;222
PE;PAULISTA;PAULISTA;2020-11-01;6
ES;SERRA;CARAPINA;2021-06-01;33
RS;NOVO HAMBURGO;NOVO HAMBURGO;2019-12-01;1553
RS;CAXIAS DO SUL;CAXIAS DO SUL;2022-02-01;35309
RR;BOA VISTA;BOA VISTA;2022-02-01;50461
AP;AMAPA;AMAPA;2022-01-01;1
MG;UBA;UBA;2020-02-01;6113
RJ;ARARUAMA;ARARUAMA;2021-07-01;670
MG;ARAGUARI;ARAGUARI;2020-10-01;10286
MG;BETIM;BETIM;2020-10-01;17116
MG;DIVINOPOLIS;DIVINOPOLIS;2019-07-01;7621
PA;BELEM;BELEM;2021-05-01;57293
MG;NOVA LIMA;NOVA LIMA;2020-04-01;1175
PI;TERESINA;TERESINA;2019-06-01;818
RS;PASSO FUNDO;PASSO FUNDO;2021-02-01;9086
RJ;MESQUITA;MESQUITA;2020-11-01;3436
RO;;JI PARANA;2020-08-01;41
PE;CARUARU;CARUARU;2022-01-01;9508
MG;POCOS DE CALDAS;POCOS DE CALDAS;2021-07-01;9533
MG;VARGINHA;VARGINHA;2021-05-01;11252
PR;PINHAIS;PINHAIS;2020-03-01;732
GO;PLANALTINA;PLANALTINA;2022-01-01;3321
SC;FLORIANOPOLIS;FLORIANOPOLIS;2021-11-01;7959
MG;NOVA LIMA;NOVA LIMA;2021-04-01;1290
PR;COLOMBO;ROCA GRANDE;2021-06-01;217
BA;JUAZEIRO;JUAZEIRO;2021-06-01;5371
DF;BRASILIA;TAGUATINGA;2021-10-01;26564
PI;FLORIANO;FLORIANO;2021-12-01;665
SP;SAO PAULO;SAO PAULO;2022-02-01;6021
BA;JUAZEIRO;JUAZEIRO;2020-12-01;5300
RS;SANTA MARIA;SANTA MARIA;2021-04-01;18082
RJ;PETROPOLIS;ITAIPAVA;2021-05-01;2254
RJ;PETROPOLIS;ITAIPAVA;2020-09-01;1726
RJ;QUEIMADOS;QUEIMADOS;2020-12-01;9312
PR;COLOMBO;MARACANA;2021-04-01;195
PR;FOZ DO IGUACU;FOZ DO IGUACU;2021-02-01;3307
PR;COLOMBO;ROCA GRANDE;2021-10-01;187
MG;ESMERALDAS;ESMERALDAS;2021-09-01;102
RJ;RIO DE JANEIRO;RIO DE JANEIRO;2021-05-01;176790
PI;TERESINA;TERESINA;2020-11-01;24199
RJ;MANGARATIBA;PORTO BELO;2020-11-01;169
RJ;PETROPOLIS;CORREIAS;2021-03-01;3044
MG;DIVINOPOLIS;DIVINOPOLIS;2019-05-01;5940
SC;BRUSQUE;BRUSQUE;2020-01-01;458
RS;SANTA CRUZ DO SUL;SANTA CRUZ DO SUL;2021-06-01;8958
PR;SAO JOSE DOS PINHAIS;BORDA DO CAMPO DE SAO SEBASTIAO;2021-02-01;22
MG;DIVINOPOLIS;DIVINOPOLIS;2020-02-01;11825
DF;BRASILIA;CEILANDIA;2019-09-01;97
DF;BRASILIA;BRASILIA;2019-08-01;7037
PR;FOZ DO IGUACU;FOZ DO IGUACU;2021-03-01;4268
SC;CHAPECO;CHAPECO;2021-10-01;4533
;;;2021-03-01;1
RJ;QUEIMADOS;QUEIMADOS;2020-02-01;2476
RO;VILHENA;VILHENA;2021-11-01;7809
RS;PELOTAS;PELOTAS;2021-07-01;14619
GO;AGUAS LINDAS DE GOIAS;AGUAS LINDAS DE GOIAS;2020-04-01;581
MT;CUIABA;CUIABA;2020-08-01;2511
RJ;MANGARATIBA;MANGARATIBA;2021-01-01;65
RJ;PETROPOLIS;CORREIAS;2020-09-01;2627
RS;NOVO HAMBURGO;NOVO HAMBURGO;2019-09-01;15
MG;SABARA;SABARA;2021-10-01;144
GO;GOIANIA;GOIANIA;2019-01-01;847
MG;BELO HORIZONTE;BELO HORIZONTE;2020-04-01;25068
SC;ITAJAI;ITAJAI;2020-11-01;4475
RS;ELDORADO DO SUL;ELDORADO DO SUL;2021-11-01;553
GO;GOIANIA;GOIANIA;2019-09-01;5360
MG;NOVA LIMA;NOVA LIMA;2019-07-01;1146
PR;SAO JOSE DOS PINHAIS;BORDA DO CAMPO DE SAO SEBASTIAO;2020-09-01;19
MG;DIVINOPOLIS;DIVINOPOLIS;2019-02-01;3240
RJ;NITEROI;NITEROI;2021-11-01;29062
RJ;PETROPOLIS;PETROPOLIS;2020-03-01;22301
ES;CACHOEIRO DE ITAPEMIRIM;CACHOEIRO DE ITAPEMIRIM;2021-05-01;3203
MG;JUIZ DE FORA;JUIZ DE FORA;2020-05-01;14734
MG;GOVERNADOR VALADARES;GOVERNADOR VALADARES;2021-12-01;7865
TO;PALMAS;SANTO AMARO;2021-04-01;2
MG;ARAGUARI;ARAGUARI;2019-10-01;4103
SC;CRICIUMA;CRICIUMA;2021-12-01;6983
DF;BRASILIA;BRASILIA;2020-11-01;11051
PR;FOZ DO IGUACU;FOZ DO IGUACU;2022-01-01;8062
RJ;NITEROI;NITEROI;2021-02-01;25393
AM;MANAUS;MANAUS;2018-09-01;43
