UF;CIDADE;CIDADE_SIEBEL;ENCERRAMENTO;QTE
AL;ARAPIRACA;ARAPIRACA;2021-07-01;1301
DF;BRASILIA;TAGUATINGA;2020-01-01;6
PE;RECIFE;RECIFE;2020-10-01;13150
MG;BELO HORIZONTE;BELO HORIZONTE;2021-02-01;64596
AM;MANAUS;MANAUS;2020-01-01;17309
AP;MACAPA;MACAPA;2019-12-01;5209
MS;DOURADOS;DOURADOS;2020-09-01;23120
PA;MARABA;MARABA;2020-03-01;364
BA;JUAZEIRO;JUAZEIRO;2021-07-01;5382
MG;SABARA;SABARA;2021-12-01;570
RJ;MANGARATIBA;MANGARATIBA;2020-06-01;153
CE;FORTALEZA;FORTALEZA;2018-11-01;703
MG;UBA;UBA;2021-05-01;13380
MG;MONTES CLAROS;MONTES CLAROS;2021-10-01;23795
PA;ANANINDEUA;ANANINDEUA;2019-04-01;31
RO;VILHENA;VILHENA;2020-12-01;3539
PR;MARINGA;MARINGA;2021-12-01;37420
RJ;RIO DE JANEIRO;RIO DE JANEIRO;2018-09-01;11020
RS;SANTA CRUZ DO SUL;SANTA CRUZ DO SUL;2021-07-01;9172
MT;RONDONOPOLIS;RONDONOPOLIS;2019-07-01;1481
SC;CRICIUMA;CIDADE MINEIRA;2021-01-01;5
PA;BELEM;BELEM;2020-08-01;37637
PR;PIRAQUARA;PIRAQUARA;2022-02-01;10056
MT;CUIABA;CUIABA;2022-02-01;15463
RJ;VALENCA;VALENCA;2021-11-01;1585
PA;MARABA;MARABA;2022-01-01;12922
MS;MARACAJU;MARACAJU;2021-10-01;614
RJ;ANGRA DOS REIS;ANGRA DOS REIS;2018-12-01;542
PR;FOZ DO IGUACU;FOZ DO IGUACU;2021-08-01;6954
RS;PELOTAS;PELOTAS;2020-05-01;1553
BA;VITORIA DA CONQUISTA;VITORIA DA CONQUISTA;2020-08-01;5094
MG;NOVA LIMA;NOVA LIMA;2021-08-01;1536
MG;BETIM;BETIM;2020-07-01;14287
RJ;ANGRA DOS REIS;ANGRA DOS REIS;2021-05-01;14369
